;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
211;2003-06-01;Fecha 14;Boca;2;River;2;Boca Juniors;L;partido/boca-2-river-2-torneo-clausura-2003/2980/2003/42/14.html;Torneo Clausura 2003
212;2003-11-09;Fecha 14;River;0;Boca;2;River Plate;V;partido/river-0-boca-2-torneo-apertura-2003/2961/2003/41/14.html;Torneo Apertura 2003
213;2004-05-16;Fecha 14;Boca;0;River;1;Boca Juniors;L;partido/boca-0-river-1-torneo-clausura-2004/3037/2004/42/14.html;Torneo Clausura 2004
214;2004-06-10;Semifinales. Partido de Ida;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-copa-libertadores-2004/3053/2004/109/11.html;Libertadores 2004
215;2004-06-17;Semifinales. Partido de Vuelta;River;2 (4);Boca;1 (5);River Plate;V;partido/river-2-4-boca-1-5-copa-libertadores-2004/3054/2004/109/12.html;Libertadores 2004
216;2004-11-07;Fecha 14;River;2;Boca;0;River Plate;V;partido/river-2-boca-0-torneo-apertura-2004/3018/2004/41/14.html;Torneo Apertura 2004
217;2005-05-22;Fecha 14;Boca;2;River;1;Boca Juniors;L;partido/boca-2-river-1-torneo-clausura-2005/3141/2005/42/14.html;Torneo Clausura 2005
218;2005-10-16;Fecha 11;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-torneo-apertura-2005/3172/2005/41/11.html;Torneo Apertura 2005
219;2006-03-26;Fecha 11;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-torneo-clausura-2006/5192/2006/42/11.html;Torneo Clausura 2006
220;2006-10-08;Fecha 10;River;3;Boca;1;River Plate;V;partido/river-3-boca-1-torneo-apertura-2006/5267/2006/44/9.html;Torneo Apertura 2006
221;2007-04-15;Fecha 10;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-torneo-clausura-2007/5499/2007/42/10.html;Torneo Clausura 2007
222;2007-10-07;Fecha 13;River;2;Boca;0;River Plate;V;partido/river-2-boca-0-torneo-apertura-2007/5551/2007/41/13.html;Torneo Apertura 2007
223;2008-05-04;Fecha 13;Boca;1;River;0;Boca Juniors;L;partido/boca-1-river-0-torneo-clausura-2008/5596/2008/42/13.html;Torneo Clausura 2008
224;2008-10-19;Fecha 10;River;0;Boca;1;River Plate;V;partido/river-0-boca-1-torneo-apertura-2008/5626/2008/46/10.html;Torneo Apertura 2008
225;2009-04-19;Fecha 10;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-torneo-clausura-2009/5661/2009/42/10.html;Torneo Clausura 2009
226;2009-10-25;Fecha 10;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-torneo-apertura-2009/5692/2009/41/10.html;Torneo Apertura 2009
227;2010-03-25;Fecha 10;Boca;2;River;0;Boca Juniors;L;partido/boca-2-river-0-torneo-clausura-2010/5715/2010/42/10.html;Torneo Clausura 2010
