;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
1358;2008-01-19;Torneo de Verano. Partido 2;Boca;1;San Lorenzo;1;José M. Minella (Mar del Plata);N;partido/boca-1-san-lorenzo-1-amistosos-2008/5562/2008/2108/2.html;Amistosos 2008
1359;2008-01-22;Torneo de Verano. Partido 3;Boca;0;Racing;0;Padre Ernesto Martearena (Salta);N;partido/boca-0-racing-0-amistosos-2008/5563/2008/2108/3.html;Amistosos 2008
1360;2008-01-26;Torneo de Verano. Partido 4;Boca;2;River;0;José M. Minella (Mar del Plata);N;partido/boca-2-river-0-amistosos-2008/5564/2008/2108/4.html;Amistosos 2008
1361;2008-02-02;Copa Revancha;Boca;2;River;3;Malvinas Argentinas (Mendoza);N;partido/boca-2-river-3-amistosos-2008/5565/2008/2108/5.html;Amistosos 2008
1362;2008-07-22;Gira por México;Tecos (México);1;Boca;1;Tecos (Guadalajara);V;partido/tecos-mexico-1-boca-1-amistosos-2008/5610/2008/2108/6.html;Amistosos 2008
1363;2008-07-26;Gira por México;Dorados (México);1 (5);Boca;1 (6);Banorte (Culiacán);V;partido/dorados-mexico-1-5-boca-1-6-amistosos-2008/5611/2008/2108/7.html;Amistosos 2008
1364;2008-08-16;Copa Joan Gamper;Barcelona (España);2;Boca;1;Camp Nou (Barcelona);V;partido/barcelona-espana-2-boca-1-amistosos-2008/5614/2008/2108/8.html;Amistosos 2008
1365;2009-01-17;Torneo de Verano. Partido 1;Boca;0;San Lorenzo;0;José M. Minella (Mar del Plata);N;partido/boca-0-san-lorenzo-0-amistosos-2009/5640/2009/2109/1.html;Amistosos 2009
1366;2009-01-20;Torneo de Verano. Partido 2;Boca;2;Independiente;0;Padre Ernesto Martearena (Salta);N;partido/boca-2-independiente-0-amistosos-2009/5641/2009/2109/2.html;Amistosos 2009
1367;2009-01-24;Torneo de Verano. Partido 3;Boca;2;River;1;José M. Minella (Mar del Plata);N;partido/boca-2-river-1-amistosos-2009/5642/2009/2109/3.html;Amistosos 2009
1368;2009-01-27;Torneo de Verano. Partido 4;Boca;2;Racing;0;José M. Minella (Mar del Plata);N;partido/boca-2-racing-0-amistosos-2009/5643/2009/2109/4.html;Amistosos 2009
1369;2009-02-01;Torneo de Verano. Partido 5;Boca;2;River;0;Malvinas Argentinas (Mendoza);N;partido/boca-2-river-0-amistosos-2009/5645/2009/2109/5.html;Amistosos 2009
1370;2009-07-29;Audi Cup. Semifinal;Boca;1;Manchester Utd.;2;Allianz Arena (Munich);N;partido/boca-1-manchester-utd-2-amistosos-2009/5676/2009/2109/6.html;Amistosos 2009
1371;2009-07-30;Audi Cup. 3er. Puesto;Boca;1 (4);Milan (Italia);1 (3);Allianz Arena (Munich);N;partido/boca-1-4-milan-italia-1-3-amistosos-2009/5677/2009/2109/7.html;Amistosos 2009
1372;2009-08-03;Amistoso;Lask Linz (Austria);0;Boca;1;Linzer (Linz);V;partido/lask-linz-austria-0-boca-1-amistosos-2009/5678/2009/2109/8.html;Amistosos 2009
1373;2009-08-05;Amistoso;Aris S. (Grecia);0;Boca;1;Kleanthis Vikelidis (Grecia);V;partido/aris-s-grecia-0-boca-1-amistosos-2009/5679/2009/2109/9.html;Amistosos 2009
1374;2009-08-08;Amistoso;AEK (Grecia);0;Boca;2;Olímpico (Atenas);V;partido/aek-grecia-0-boca-2-amistosos-2009/5680/2009/2109/10.html;Amistosos 2009
1375;2010-01-13;Copa de Oro. Partido 1;Boca;3;San Lorenzo;3;José M. Minella (Mar del Plata);N;partido/boca-3-san-lorenzo-3-amistosos-2010/5702/2010/2110/1.html;Amistosos 2010
1376;2010-01-16;Copa de Oro. Partido 2;Boca;1;Estudiantes (LP);4;José M. Minella (Mar del Plata);N;partido/boca-1-estudiantes-lp-4-amistosos-2010/5703/2010/2110/2.html;Amistosos 2010
1377;2010-01-20;Copa Desafío.;Boca;1;River;3;José M. Minella (Mar del Plata);N;partido/boca-1-river-3-amistosos-2010/5704/2010/2110/3.html;Amistosos 2010
1378;2010-01-24;Copa Revancha;Boca;1 (1);River;1 (3);Malvinas Argentinas (Mendoza);N;partido/boca-1-1-river-1-3-amistosos-2010/5705/2010/2110/4.html;Amistosos 2010
1379;2010-05-23;Gira por EEUU;L.A. Galaxy (EEUU);1;Boca;0;Home Depot Center (Los Angeles);V;partido/la-galaxy-eeuu-1-boca-0-amistosos-2010/5726/2010/2110/5.html;Amistosos 2010
1380;2010-05-26;Gira por EEUU;S. Sounders (EEUU);3;Boca;0;Century Link Field (Seattle);V;partido/s-sounders-eeuu-3-boca-0-amistosos-2010/5727/2010/2110/6.html;Amistosos 2010
1381;2010-05-29;Gira por EEUU;P. Timbers (EEUU);3;Boca;2;PGE Park (Portland);V;partido/p-timbers-eeuu-3-boca-2-amistosos-2010/5728/2010/2110/7.html;Amistosos 2010
1382;2010-07-09;Amistoso;Palmeiras (Bra);0;Boca;2;Palestra Italia (San Pablo);V;partido/palmeiras-bra-0-boca-2-amistosos-2010/5732/2010/2110/8.html;Amistosos 2010
1383;2010-07-16;Gira por Oceanía;Melbourne Victory;0;Boca;1;Etihad Stadium (Melbourne);V;partido/melbourne-victory-0-boca-1-amistosos-2010/5733/2010/2110/9.html;Amistosos 2010
1384;2010-07-23;Gira por Oceanía;Wellington Phoenix;2;Boca;1;Westpac Stadium (Nueva Zelanda);V;partido/wellington-phoenix-2-boca-1-amistosos-2010/5735/2010/2110/10.html;Amistosos 2010
1385;2011-01-15;Copa de Oro. Partido 1;Boca;2;Independiente;0;José M. Minella (Mar del Plata);N;partido/boca-2-independiente-0-amistosos-2011/5757/2011/2111/1.html;Amistosos 2011
1386;2011-01-22;Copa Desafío;Boca;2;River;0;José M. Minella (Mar del Plata);N;partido/boca-2-river-0-amistosos-2011/5758/2011/2111/2.html;Amistosos 2011
1387;2011-01-29;Copa de Oro. Partido 2;Boca;3;San Lorenzo;0;José M. Minella (Mar del Plata);N;partido/boca-3-san-lorenzo-0-amistosos-2011/5759/2011/2111/3.html;Amistosos 2011
1388;2011-02-02;Copa Revancha;Boca;1;River;1;Malvinas Argentinas (Mendoza);N;partido/boca-1-river-1-amistosos-2011/5760/2011/2111/4.html;Amistosos 2011
1389;2011-07-27;Copa Ciudad de Barcelona;Espanyol (España);3;Boca;1;RCD Espanyol (España);V;partido/espanyol-espana-3-boca-1-amistosos-2011/5782/2011/2111/5.html;Amistosos 2011
1390;2011-07-30;Emirates Cup. Partido 1;Arsenal (Inglaterra);2;Boca;2;Emirates Stadium (Londres);V;partido/arsenal-inglaterra-2-boca-2-amistosos-2011/5783/2011/2111/6.html;Amistosos 2011
1391;2011-07-31;Emirates Cup. Partido 2;Boca;0;P. S. Germain (Fra);3;Emirates Stadium (Londres);N;partido/boca-0-p-s-germain-fra-3-amistosos-2011/5784/2011/2111/7.html;Amistosos 2011
1392;2011-10-08;Amistoso;Boca;0;Estudiantes (LP);1;Bicentenario (Catamarca);N;partido/boca-0-estudiantes-lp-1-amistosos-2011/5803/2011/2111/8.html;Amistosos 2011
1393;2012-01-17;Copa de Oro. Partido 1;Boca;0;San Lorenzo;0;José M. Minella (Mar del Plata);N;partido/boca-0-san-lorenzo-0-amistosos-2012/5813/2012/2112/1.html;Amistosos 2012
1394;2012-01-21;Copa de Oro. Partido 2;Boca;0;Independiente;1;José M. Minella (Mar del Plata);N;partido/boca-0-independiente-1-amistosos-2012/5814/2012/2112/2.html;Amistosos 2012
1395;2012-01-25;Copa Luis Nofal. Partido 1;Boca;2;River;0;Centenario (Resistencia);N;partido/boca-2-river-0-amistosos-2012/5815/2012/2112/3.html;Amistosos 2012
1396;2012-01-29;Copa Luis Nofal. Partido 2;Boca;1;River;0;Malvinas Argentinas (Mendoza);N;partido/boca-1-river-0-amistosos-2012/5816/2012/2112/4.html;Amistosos 2012
1397;2012-07-25;Gira por Colombia. Partido 1;Millonarios (Col.);1;Boca;2;El Campín (Bogotá);V;partido/millonarios-col-1-boca-2-amistosos-2012/5858/2012/2112/5.html;Amistosos 2012
1398;2012-07-27;Gira por Colombia. Partido 2;Independiente (Bog.);1;Boca;0;El Campín (Bogotá);V;partido/independiente-bog-1-boca-0-amistosos-2012/5859/2012/2112/6.html;Amistosos 2012
1399;2012-07-29;Gira por Venezuela. Partido 1;D. Anzóategui (Ven);1 (2);Boca;1 (4);José Antonio Anzoátegui (Venezuela);V;partido/d-anzoategui-ven-1-2-boca-1-4-amistosos-2012/5860/2012/2112/7.html;Amistosos 2012
1400;2012-07-30;Gira por Venezuela. Partido 2;Boca;1 (4);All Boys;1 (1);José Antonio Anzoátegui (Venezuela);N;partido/boca-1-4-all-boys-1-1-amistosos-2012/5861/2012/2112/8.html;Amistosos 2012
1401;2012-08-15;Amistoso;Boca;0;Sel. Honduras;2;Sun Life Stadium (Miami);N;partido/boca-0-sel-honduras-2-amistosos-2012/5865/2012/2112/9.html;Amistosos 2012
1402;2012-10-13;Amistoso;Cerro Porteño (Par);2;Boca;1;General Pablo Rojas (Asunción);V;partido/cerro-porteno-par-2-boca-1-amistosos-2012/5876/2012/2112/10.html;Amistosos 2012
1403;2013-01-13;Copa de Verano. Partido 1;Boca;1;Racing;2;José M. Minella (Mar del Plata);N;partido/boca-1-racing-2-amistosos-2013/5887/2013/2113/1.html;Amistosos 2013
1404;2013-01-19;Copa de Verano. Partido 2;Boca;0;River;2;José M. Minella (Mar del Plata);N;partido/boca-0-river-2-amistosos-2013/5888/2013/2113/2.html;Amistosos 2013
1405;2013-01-26;Copa de Verano. Partido 3;Boca;3;Independiente;0;José M. Minella (Mar del Plata);N;partido/boca-3-independiente-0-amistosos-2013/5889/2013/2113/3.html;Amistosos 2013
1406;2013-01-29;Copa Luis Nofal;Boca;0 (5);River;0 (4);Malvinas Argentinas (Mendoza);N;partido/boca-0-5-river-0-4-amistosos-2013/5890/2013/2113/4.html;Amistosos 2013
1407;2013-02-02;Copa BBVA Francés;Boca;1;River;2;Mario Kempes (Córdoba);N;partido/boca-1-river-2-amistosos-2013/5891/2013/2113/5.html;Amistosos 2013
1408;2013-07-14;Copa de Invierno. Partido 1;Estudiantes (LP);1;Boca;2;Ciudad de La Plata;V;partido/estudiantes-lp-1-boca-2-amistosos-2013/5923/2013/2113/6.html;Amistosos 2013
1409;2013-07-27;Amistoso;Combinado (San Luis);0;Boca;1;Juan Gilberto Funes (San Luis);V;partido/combinado-san-luis-0-boca-1-amistosos-2013/5924/2013/2113/7.html;Amistosos 2013
1410;2013-07-30;Amistoso;Combinado (Salta);0;Boca;1;Padre Ernesto Martearena (Salta);V;partido/combinado-salta-0-boca-1-amistosos-2013/5925/2013/2113/8.html;Amistosos 2013
1411;2014-01-15;Torneo de Verano. Partido 1;Boca;0;Estudiantes (LP);1;José M. Minella (Mar del Plata);N;partido/boca-0-estudiantes-lp-1-amistosos-2014/5945/2014/2114/1.html;Amistosos 2014
1412;2014-01-18;Torneo de Verano. Partido 2;Boca;1;River;1;José M. Minella (Mar del Plata);N;partido/boca-1-river-1-amistosos-2014/5946/2014/2114/2.html;Amistosos 2014
1413;2014-01-25;Copa BBVA Francés. Final;Boca;0;River;2;Mario Kempes (Córdoba);N;partido/boca-0-river-2-amistosos-2014/5947/2014/2114/3.html;Amistosos 2014
1414;2014-02-01;Copa Luis Nofal. Final;Boca;1;River;2;Malvinas Argentinas (Mendoza);N;partido/boca-1-river-2-amistosos-2014/5948/2014/2114/4.html;Amistosos 2014
1415;2014-02-03;Amistoso;Gimnasia y Tiro (S);2;Boca;0;Padre Ernesto Martearena (Salta);V;partido/gimnasia-y-tiro-s-2-boca-0-amistosos-2014/5949/2014/2114/5.html;Amistosos 2014
1416;2014-05-31;Copa BBVA Francés. Final;Boca;1 (2);River;1 (4);Azteca (México D. F.);N;partido/boca-1-2-river-1-4-amistosos-2014/5969/2014/2114/6.html;Amistosos 2014
