;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
2041;1957-07-04;Amistoso;Huracán;3;Boca;3;Ferro Carril Oeste;V;partido/huracan-3-boca-3-amistosos-1957/4297/1957/2025/24.html;Amistosos 1957
2042;1957-07-07;Amistoso;Comb. Paraná;1;Boca;4;Patronato (Paraná);V;partido/comb-parana-1-boca-4-amistosos-1957/4298/1957/2025/25.html;Amistosos 1957
2043;1957-07-09;Amistoso;Comb. Rafaela;2;Boca;3;Atlético (Rafaela);V;partido/comb-rafaela-2-boca-3-amistosos-1957/4299/1957/2025/26.html;Amistosos 1957
2044;1957-07-14;Amistoso;Peñarol (Uru);1;Boca;1;Centenario (Montevideo);V;partido/penarol-uru-1-boca-1-amistosos-1957/4300/1957/2025/27.html;Amistosos 1957
2045;1957-07-21;Fecha 10;Boca;2;River;2;Boca Juniors;L;partido/boca-2-river-2-campeonato-1957/834/1957/5/10.html;Campeonato 1957
2046;1957-07-27;Fecha 11;Racing;2;Boca;0;Racing Club;V;partido/racing-2-boca-0-campeonato-1957/835/1957/5/11.html;Campeonato 1957
2047;1957-08-01;Amistoso;Boca;4;Racing (Uruguay);2;Ferro Carril Oeste;L;partido/boca-4-racing-uruguay-2-amistosos-1957/4301/1957/2025/28.html;Amistosos 1957
2048;1957-08-04;Fecha 12;Boca;0;Argentinos;1;Boca Juniors;L;partido/boca-0-argentinos-1-campeonato-1957/836/1957/5/12.html;Campeonato 1957
2049;1957-08-11;Fecha 13;Ferro;0;Boca;0;Ferro Carril Oeste;V;partido/ferro-0-boca-0-campeonato-1957/837/1957/5/13.html;Campeonato 1957
2050;1957-08-15;Fecha 14;Boca;0;Huracán;0;Boca Juniors;L;partido/boca-0-huracan-0-campeonato-1957/838/1957/5/14.html;Campeonato 1957
2051;1957-08-18;Fecha 15;Newell´s;0;Boca;0;Newell´s Old Boys;V;partido/newell_s-0-boca-0-campeonato-1957/839/1957/5/15.html;Campeonato 1957
2052;1957-08-25;Fecha 16;Estudiantes (LP);3;Boca;1;Estudiantes (La Plata);V;partido/estudiantes-lp-3-boca-1-campeonato-1957/840/1957/5/16.html;Campeonato 1957
2053;1957-09-01;Fecha 17;Gimnasia (LP);1;Boca;3;Gimnasia y Esgrima (La Plata);V;partido/gimnasia-lp-1-boca-3-campeonato-1957/841/1957/5/17.html;Campeonato 1957
2054;1957-09-08;Fecha 18;Boca;2;Tigre;1;Boca Juniors;L;partido/boca-2-tigre-1-campeonato-1957/842/1957/5/18.html;Campeonato 1957
2055;1957-09-15;Fecha 19;Independiente;1;Boca;0;Independiente;V;partido/independiente-1-boca-0-campeonato-1957/843/1957/5/19.html;Campeonato 1957
2056;1957-09-22;Fecha 20;Boca;4;Atlanta;0;Boca Juniors;L;partido/boca-4-atlanta-0-campeonato-1957/844/1957/5/20.html;Campeonato 1957
2057;1957-09-29;Fecha 21;Vélez;4;Boca;0;Vélez Sársfield;V;partido/velez-4-boca-0-campeonato-1957/845/1957/5/21.html;Campeonato 1957
2058;1957-10-05;Amistoso;Liga Cult. (SdE);1;Boca;0;Mitre (Santiago del Estero);V;partido/liga-cult-sde-1-boca-0-amistosos-1957/4302/1957/2025/29.html;Amistosos 1957
2059;1957-10-06;Amistoso;Comb. Tucumán;2;Boca;1;Atlético (Tucumán);V;partido/comb-tucuman-2-boca-1-amistosos-1957/4303/1957/2025/30.html;Amistosos 1957
2060;1957-10-09;Amistoso;Combinado (Salta);0;Boca;3;Gimnasia y Tiro (Salta);V;partido/combinado-salta-0-boca-3-amistosos-1957/4304/1957/2025/31.html;Amistosos 1957
2061;1957-10-12;Amistoso;Comb. Jujuy;0;Boca;3;Gimnasia y Esgrima (Jujuy);V;partido/comb-jujuy-0-boca-3-amistosos-1957/4305/1957/2025/32.html;Amistosos 1957
2062;1957-10-13;Amistoso;Comb. San Pedro;2;Boca;9;San Pedro (Jujuy);V;partido/comb-san-pedro-2-boca-9-amistosos-1957/4306/1957/2025/33.html;Amistosos 1957
2063;1957-10-19;Amistoso;Comb. Liga del Sud;2;Boca;3;Olimpo (Bahía Blanca);V;partido/comb-liga-del-sud-2-boca-3-amistosos-1957/4307/1957/2025/34.html;Amistosos 1957
2064;1957-10-20;Amistoso;Comb. Liga del Sud;3;Boca;1;Olimpo (Bahía Blanca);V;partido/comb-liga-del-sud-3-boca-1-amistosos-1957/4308/1957/2025/35.html;Amistosos 1957
2065;1957-11-03;Fecha 22;Boca;4;San Lorenzo;2;Boca Juniors;L;partido/boca-4-san-lorenzo-2-campeonato-1957/846/1957/5/22.html;Campeonato 1957
2066;1957-11-10;Fecha 23;R. Central;1;Boca;3;Rosario Central;V;partido/r-central-1-boca-3-campeonato-1957/847/1957/5/23.html;Campeonato 1957
2067;1957-11-17;Fecha 24;Boca;2;Lanús;1;Boca Juniors;L;partido/boca-2-lanus-1-campeonato-1957/848/1957/5/24.html;Campeonato 1957
2068;1957-11-24;Fecha 25;River;5;Boca;3;River Plate;V;partido/river-5-boca-3-campeonato-1957/849/1957/5/25.html;Campeonato 1957
2069;1957-12-01;Fecha 26;Boca;3;Racing;0;Boca Juniors;L;partido/boca-3-racing-0-campeonato-1957/850/1957/5/26.html;Campeonato 1957
2070;1957-12-04;Fecha 27;Argentinos;0;Boca;0;San Lorenzo de Almagro;V;partido/argentinos-0-boca-0-campeonato-1957/851/1957/5/27.html;Campeonato 1957
2071;1957-12-08;Fecha 28;Boca;1;Ferro;0;Boca Juniors;L;partido/boca-1-ferro-0-campeonato-1957/852/1957/5/28.html;Campeonato 1957
2072;1957-12-11;Fecha 29;Huracán;1;Boca;0;Independiente;V;partido/huracan-1-boca-0-campeonato-1957/853/1957/5/29.html;Campeonato 1957
