;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
461;1948-04-14;Amistoso;Boca;3;Platense;1;Ferro Carril Oeste;N;partido/boca-3-platense-1-amistosos-1948/4703/1948/2948/7.html;Amistosos 1948
462;1948-07-11;Amistoso;Boca;4;Tigre;3;Boca Juniors;L;partido/boca-4-tigre-3-amistosos-1948/4704/1948/2948/8.html;Amistosos 1948
463;1948-08-17;Amistoso;Boca;1;River;5;San Lorenzo de Almagro;N;partido/boca-1-river-5-amistosos-1948/3889/1948/2948/9.html;Amistosos 1948
464;1948-09-01;Amistoso;Vasco Da Gama (Bra);3;Boca;5;Sao Januario (Río de Janeiro);V;partido/vasco-da-gama-bra-3-boca-5-amistosos-1948/4705/1948/2948/10.html;Amistosos 1948
465;1948-09-30;Amistoso;Boca;2;Banfield;2;Brown (Adrogué);N;partido/boca-2-banfield-2-amistosos-1948/5436/1948/2948/11.html;Amistosos 1948
466;1948-10-21;Amistoso;Boca;6;Ferro;2;Boca Juniors;L;partido/boca-6-ferro-2-amistosos-1948/5437/1948/2948/12.html;Amistosos 1948
467;1948-12-04;Amistoso;Boca;4;San Lorenzo;3;Euskal Echea (Llavallol);N;partido/boca-4-san-lorenzo-3-amistosos-1948/5438/1948/2948/13.html;Amistosos 1948
468;1948-12-12;Amistoso;Sporting (Laboulaye);1;Boca;4;Sporting (Laboulaye);V;partido/sporting-laboulaye-1-boca-4-amistosos-1948/5439/1948/2948/14.html;Amistosos 1948
469;1949-01-22;Amistoso;Boca;2;Racing;5;Hípico (Río Cuarto);N;partido/boca-2-racing-5-amistosos-1949/5734/1949/2949/1.html;Amistosos 1949
470;1949-01-23;Amistoso;Boca;2;Racing;3;Hípico (Río Cuarto);N;partido/boca-2-racing-3-amistosos-1949/5440/1949/2949/2.html;Amistosos 1949
471;1949-03-19;Amistoso;Platense;5;Boca;4;Platense;V;partido/platense-5-boca-4-amistosos-1949/5441/1949/2949/3.html;Amistosos 1949
472;1949-03-27;Amistoso;Boca;2;Atlanta;2;Boca Juniors;L;partido/boca-2-atlanta-2-amistosos-1949/5442/1949/2949/4.html;Amistosos 1949
473;1949-04-03;Amistoso;Colegiales;2;Boca;2;Colegiales;V;partido/colegiales-2-boca-2-amistosos-1949/5443/1949/2949/5.html;Amistosos 1949
474;1949-04-10;Amistoso;Boca;5;Ferro;1;Boca Juniors;L;partido/boca-5-ferro-1-amistosos-1949/5444/1949/2949/6.html;Amistosos 1949
475;1949-04-17;Amistoso;Boca;1;Vélez;2;Boca Juniors;L;partido/boca-1-velez-2-amistosos-1949/5445/1949/2949/7.html;Amistosos 1949
476;1949-05-02;Amistoso;Boca;3;Independiente;5;Atlanta;N;partido/boca-3-independiente-5-amistosos-1949/5446/1949/2949/8.html;Amistosos 1949
