;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
3679;2004-08-29;Fecha 4;Boca;2;Racing;1;Boca Juniors;L;partido/boca-2-racing-1-torneo-apertura-2004/3008/2004/41/4.html;Torneo Apertura 2004
3680;2004-09-07;Final. Partido Único;Boca;1 (2);Cienciano (Perú);1 (4);Lock Hart (Fort Lauderdale);N;partido/boca-1-2-cienciano-peru-1-4-recopa-2004/3057/2004/350/1.html;Recopa 2004
3681;2004-09-12;Fecha 5;Boca;2;Gimnasia (LP);1;Boca Juniors;L;partido/boca-2-gimnasia-lp-1-torneo-apertura-2004/3009/2004/41/5.html;Torneo Apertura 2004
3682;2004-09-16;Octavos de Final. Partido de Ida;San Lorenzo;1;Boca;0;San Lorenzo de Almagro;V;partido/san-lorenzo-1-boca-0-copa-sudamericana-2004/3058/2004/452/1.html;Copa Sudamericana 2004
3683;2004-09-19;Fecha 6;Independiente;2;Boca;1;Independiente;V;partido/independiente-2-boca-1-torneo-apertura-2004/3010/2004/41/6.html;Torneo Apertura 2004
3684;2004-09-22;Fecha 7;Boca;6;Vélez;0;Boca Juniors;L;partido/boca-6-velez-0-torneo-apertura-2004/3011/2004/41/7.html;Torneo Apertura 2004
3685;2004-09-26;Fecha 8;R. Central;1;Boca;0;Rosario Central;V;partido/r-central-1-boca-0-torneo-apertura-2004/3012/2004/41/8.html;Torneo Apertura 2004
3686;2004-09-29;Octavos de Final. Partido de Vuelta;Boca;2 (4);San Lorenzo;1 (1);Padre Ernesto Martearena (Salta);L;partido/boca-2-4-san-lorenzo-1-1-copa-sudamericana-2004/3059/2004/452/2.html;Copa Sudamericana 2004
3687;2004-10-03;Fecha 9;Boca;2;Huracán (TA);1;Boca Juniors;L;partido/boca-2-huracan-ta-1-torneo-apertura-2004/3013/2004/41/9.html;Torneo Apertura 2004
3688;2004-10-17;Fecha 10;Colón (Sta. Fe);1;Boca;0;Colón (Santa Fe);V;partido/colon-sta-fe-1-boca-0-torneo-apertura-2004/3014/2004/41/10.html;Torneo Apertura 2004
3689;2004-10-20;Fecha 11;Boca;1;Banfield;1;Boca Juniors;L;partido/boca-1-banfield-1-torneo-apertura-2004/3015/2004/41/11.html;Torneo Apertura 2004
3690;2004-10-24;Fecha 12;Argentinos;1;Boca;0;Argentinos Juniors;V;partido/argentinos-1-boca-0-torneo-apertura-2004/3016/2004/41/12.html;Torneo Apertura 2004
3691;2004-10-27;Cuartos de Final. Partido de Ida;Boca;1;Cerro Porteño (Par);1;Padre Ernesto Martearena (Salta);L;partido/boca-1-cerro-porteno-par-1-copa-sudamericana-2004/3060/2004/452/3.html;Copa Sudamericana 2004
3692;2004-10-31;Fecha 13;Boca;0;Instituto (Cba);0;Boca Juniors;L;partido/boca-0-instituto-cba-0-torneo-apertura-2004/3017/2004/41/13.html;Torneo Apertura 2004
3693;2004-11-07;Fecha 14;River;2;Boca;0;River Plate;V;partido/river-2-boca-0-torneo-apertura-2004/3018/2004/41/14.html;Torneo Apertura 2004
3694;2004-11-10;Cuartos de Final. Partido de Vuelta;Cerro Porteño (Par);0 (7);Boca;0 (8);Defensores de Chaco (Asunción);V;partido/cerro-porteno-par-0-7-boca-0-8-copa-sudamericana-2004/3061/2004/452/4.html;Copa Sudamericana 2004
3695;2004-11-13;Fecha 15;Boca;0;Estudiantes (LP);0;Boca Juniors;L;partido/boca-0-estudiantes-lp-0-torneo-apertura-2004/3019/2004/41/15.html;Torneo Apertura 2004
3696;2004-11-21;Fecha 16;Arsenal;1;Boca;0;Arsenal;V;partido/arsenal-1-boca-0-torneo-apertura-2004/3020/2004/41/16.html;Torneo Apertura 2004
3697;2004-11-24;Semifinales. Partido de Ida;Boca;4;Inter (Brasil);2;Boca Juniors;L;partido/boca-4-inter-brasil-2-copa-sudamericana-2004/3062/2004/452/5.html;Copa Sudamericana 2004
3698;2004-11-28;Fecha 17;Boca;1;Newell´s;3;Boca Juniors;L;partido/boca-1-newell_s-3-torneo-apertura-2004/3021/2004/41/17.html;Torneo Apertura 2004
3699;2004-12-01;Semifinales. Partido de Vuelta;Inter (Brasil);0;Boca;0;Beira Río (Porto Alegre);V;partido/inter-brasil-0-boca-0-copa-sudamericana-2004/3063/2004/452/6.html;Copa Sudamericana 2004
3700;2004-12-05;Fecha 18;Quilmes;0;Boca;1;Quilmes;V;partido/quilmes-0-boca-1-torneo-apertura-2004/3022/2004/41/18.html;Torneo Apertura 2004
3701;2004-12-08;Final. Partido de Ida;Bolívar (Bol);1;Boca;0;Hernando Siles (La Paz);V;partido/bolivar-bol-1-boca-0-copa-sudamericana-2004/3064/2004/452/7.html;Copa Sudamericana 2004
3702;2004-12-12;Fecha 19;Boca;1;Almagro;1;Boca Juniors;L;partido/boca-1-almagro-1-torneo-apertura-2004/3023/2004/41/19.html;Torneo Apertura 2004
3703;2004-12-17;Final. Partido de Vuelta;Boca;2;Bolívar (Bol);0;Boca Juniors;L;partido/boca-2-bolivar-bol-0-copa-sudamericana-2004/3065/2004/452/8.html;Copa Sudamericana 2004
3704;2005-02-13;Fecha 1;Boca;2;Lanús;2;Boca Juniors;L;partido/boca-2-lanus-2-torneo-clausura-2005/3090/2005/42/1.html;Torneo Clausura 2005
3705;2005-02-17;Primera Fase. Partido 1;Dep. Cuenca (Ecu);0;Boca;0;Alejandro Serrano Aguilar (Cuenca);V;partido/dep-cuenca-ecu-0-boca-0-copa-libertadores-2005/3093/2005/103/1.html;Libertadores 2005
3706;2005-02-20;Fecha 2;San Lorenzo;3;Boca;0;San Lorenzo de Almagro;V;partido/san-lorenzo-3-boca-0-torneo-clausura-2005/3091/2005/42/2.html;Torneo Clausura 2005
3707;2005-02-27;Fecha 3;Boca;3;Olimpo (B. Blanca);1;Boca Juniors;L;partido/boca-3-olimpo-b-blanca-1-torneo-clausura-2005/3092/2005/42/3.html;Torneo Clausura 2005
3708;2005-03-02;Primera Fase. Partido 2;Boca;3;Sp. Cristal (Perú);0;Boca Juniors;L;partido/boca-3-sp-cristal-peru-0-copa-libertadores-2005/3095/2005/103/2.html;Libertadores 2005
3709;2005-03-06;Fecha 4;Racing;1;Boca;0;Racing Club;V;partido/racing-1-boca-0-torneo-clausura-2005/3096/2005/42/4.html;Torneo Clausura 2005
3710;2005-03-13;Fecha 5;Gimnasia (LP);0;Boca;1;Gimnasia y Esgrima (La Plata);V;partido/gimnasia-lp-0-boca-1-torneo-clausura-2005/3097/2005/42/5.html;Torneo Clausura 2005
3711;2005-03-16;Primera Fase. Partido 3;Pachuca (Méx);3;Boca;1;Hidalgo (Pachuca);V;partido/pachuca-mex-3-boca-1-copa-libertadores-2005/3098/2005/103/3.html;Libertadores 2005
3712;2005-03-20;Fecha 6;Boca;2;Independiente;1;Boca Juniors;L;partido/boca-2-independiente-1-torneo-clausura-2005/3099/2005/42/6.html;Torneo Clausura 2005
3713;2005-04-03;Fecha 7;Vélez;2;Boca;0;Vélez Sársfield;V;partido/velez-2-boca-0-torneo-clausura-2005/3100/2005/42/7.html;Torneo Clausura 2005
3714;2005-04-06;Primera Fase. Partido 4;Boca;4;Pachuca (Méx);0;Boca Juniors;L;partido/boca-4-pachuca-mex-0-copa-libertadores-2005/3101/2005/103/4.html;Libertadores 2005
3715;2005-04-10;Fecha 8;Boca;4;R. Central;1;Boca Juniors;L;partido/boca-4-r-central-1-torneo-clausura-2005/3102/2005/42/8.html;Torneo Clausura 2005
3716;2005-04-17;Fecha 9;Huracán (TA);2;Boca;4;Huracán (Tres Arroyos);V;partido/huracan-ta-2-boca-4-torneo-clausura-2005/3119/2005/42/9.html;Torneo Clausura 2005
3717;2005-04-24;Fecha 10;Boca;1;Colón (Sta. Fe);1;Boca Juniors;L;partido/boca-1-colon-sta-fe-1-torneo-clausura-2005/3133/2005/42/10.html;Torneo Clausura 2005
3718;2005-04-27;Primera Fase. Partido 5;Sp. Cristal (Perú);0;Boca;3;Nacional (Lima);V;partido/sp-cristal-peru-0-boca-3-copa-libertadores-2005/3134/2005/103/5.html;Libertadores 2005
3719;2005-04-30;Fecha 11;Banfield;3;Boca;2;Banfield;V;partido/banfield-3-boca-2-torneo-clausura-2005/3135/2005/42/11.html;Torneo Clausura 2005
3720;2005-05-04;Primera Fase. Partido 6;Boca;3;Dep. Cuenca (Ecu);0;Boca Juniors;L;partido/boca-3-dep-cuenca-ecu-0-copa-libertadores-2005/3136/2005/103/6.html;Libertadores 2005
3721;2005-05-08;Fecha 12;Boca;1;Argentinos;2;Boca Juniors;L;partido/boca-1-argentinos-2-torneo-clausura-2005/3138/2005/42/12.html;Torneo Clausura 2005
3722;2005-05-14;Fecha 13;Instituto (Cba);3;Boca;1;Instituto (Córdoba);V;partido/instituto-cba-3-boca-1-torneo-clausura-2005/3139/2005/42/13.html;Torneo Clausura 2005
3723;2005-05-17;Octavos De Final. Partido de Ida;Junior (Col);3;Boca;3;Metropolitano (Barranquilla);V;partido/junior-col-3-boca-3-copa-libertadores-2005/3140/2005/103/7.html;Libertadores 2005
3724;2005-05-22;Fecha 14;Boca;2;River;1;Boca Juniors;L;partido/boca-2-river-1-torneo-clausura-2005/3141/2005/42/14.html;Torneo Clausura 2005
3725;2005-05-26;Octavos De Final. Partido de Vuelta;Boca;4;Junior (Col);0;Boca Juniors;L;partido/boca-4-junior-col-0-copa-libertadores-2005/3142/2005/103/8.html;Libertadores 2005
3726;2005-05-29;Fecha 15;Estudiantes (LP);0;Boca;0;Estudiantes (La Plata);V;partido/estudiantes-lp-0-boca-0-torneo-clausura-2005/3143/2005/42/15.html;Torneo Clausura 2005
3727;2005-06-02;Cuartos De Final. Partido de Ida;Guadalajara (Méx);4;Boca;0;Jalisco (Guadalajara);V;partido/guadalajara-mex-4-boca-0-copa-libertadores-2005/3144/2005/103/9.html;Libertadores 2005
3728;2005-06-11;Fecha 16;Boca;1;Arsenal;3;Boca Juniors;L;partido/boca-1-arsenal-3-torneo-clausura-2005/3145/2005/42/16.html;Torneo Clausura 2005
3729;2005-06-14;Cuartos De Final. Partido de Vuelta;Boca;0;Guadalajara (Méx);0;Boca Juniors;L;partido/boca-0-guadalajara-mex-0-copa-libertadores-2005/3146/2005/103/10.html;Libertadores 2005
3730;2005-06-19;Fecha 17;Newell´s;1;Boca;0;Newell´s Old Boys;V;partido/newell_s-1-boca-0-torneo-clausura-2005/3147/2005/42/17.html;Torneo Clausura 2005
3731;2005-06-26;Fecha 18;Boca;0;Quilmes;0;San Lorenzo de Almagro;L;partido/boca-0-quilmes-0-torneo-clausura-2005/3148/2005/42/18.html;Torneo Clausura 2005
3732;2005-07-03;Fecha 19;Almagro;PP;Boca;PP;Almagro;V;partido/almagro-pp-boca-pp-torneo-clausura-2005/3149/2005/42/19.html;Torneo Clausura 2005
